adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre,budget,revenue,director,actors,studio,season,roi,director_encoded,season_encoded,actors_encoded,studio_encoded,genre_encoded
False,/b4vPyaCEP53fVDBj0HqFukICiyk.jpg,"[28, 53]",1154215,fr,Elyas,"Elyas, a former Special Forces soldier who has become paranoid since a mission in Afghanistan, is recruited to ensure the safety of Amina and her daughter Nour, 13 years old, both of whom came from the Middle East for the holidays. As he takes office, Elyas senses something is up.",170.35,/dB6ojZkXfk6JFYaqZTTDUK8wj9O.jpg,2024-07-03,Elyas,False,6.2,44,Thriller,12460000,1359330,Florent-Emilio Siri,Roschdy Zem,Récifilms,Summer,-0.8909044943820225,43,2,98,66,9
False,/oBmwaZ3NVa3JyZnv1qCo0znxjUw.jpg,"[80, 27, 53]",1029281,en,Strange Darling,Nothing is what it seems when a twisted one-night stand spirals into a serial killer’s vicious murder spree.,169.11,/kWNCRgt3ocv19bYO0sk7TRuZuFY.jpg,2024-08-22,Strange Darling,False,7.0,269,Thriller,4000000,3504687,JT Mollner,Willa Fitzgerald,Miramax,Summer,-0.12382825,54,2,128,48,9
False,/t6fxsZkwpjJfU3XlkFtE9JcNmz3.jpg,"[18, 53]",974950,fr,Emilia Pérez,"Rita, an underrated lawyer working for a large law firm more interested in getting criminals out of jail than bringing them to justice, is hired by the leader of a criminal organization.",166.622,/7seqaCaaXDNUHOx4DqwpoOH8pPa.jpg,2024-08-21,Emilia Pérez,False,7.878,414,Thriller,26885000,8511798,Jacques Audiard,Karla Sofía Gascón,Why Not Productions,Summer,-0.6833997396317649,55,2,58,82,9
False,/cRdA9xjHBbobw4LJFsQ3j1CgpVq.jpg,"[27, 53]",663712,en,Terrifier 2,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",159.323,/qEAlwXbYk6IHA4ztoS2XFFaa7Xo.jpg,2022-10-06,Terrifier 2,False,6.752,2101,Thriller,250000,15741780,Damien Leone,David Howard Thornton,Dark Age Cinema,Fall,61.96712,29,0,36,20,9
False,/fwInUQt0yCXeTpo29sZyJdouBHo.jpg,"[27, 53, 80]",1226578,en,Longlegs,"FBI Agent Lee Harker is a gifted new recruit assigned to the unsolved case of an elusive serial killer. As the case takes complex turns, unearthing evidence of the occult, Harker discovers a personal connection to the merciless killer and must race against time to stop him before he claims the lives of another innocent family.",159.08,/1EwNyiiNFd863H4e8nWEzutnZD7.jpg,2024-07-10,Longlegs,False,6.641,1487,Thriller,10000000,126388179,Osgood Perkins,Maika Monroe,C2 Motion Picture Group,Summer,11.6388179,105,2,72,10,9
False,/1fL2S8LKxCVE9KoPRBXeagmBtex.jpg,"[27, 53, 18]",1114513,en,Speak No Evil,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",147.979,/fDtkrO2OAF8LKQTdzYmu1Y7lCLB.jpg,2024-09-11,Speak No Evil,False,7.328,1037,Thriller,15000000,76743256,James Watkins,James McAvoy,Blumhouse Productions,Summer,4.116217066666667,60,2,50,9,9
False,/7aPrv2HFssWcOtpig5G3HEVk3uS.jpg,"[53, 28]",718821,en,Twisters,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",147.94,/pjnD08FlMAIXsfOLKQbvmO0f0MD.jpg,2024-07-10,Twisters,False,6.93,1927,Thriller,155000000,370962265,Lee Isaac Chung,Daisy Edgar-Jones,Universal Pictures,Summer,1.393304935483871,88,2,29,74,9
False,/4MCKNAc6AbWjEsM2h9Xc29owo4z.jpg,"[80, 28, 53]",866398,en,The Beekeeper,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,143.447,/A7EByudX0eOzlkQ2FIbogzyazm2.jpg,2024-01-08,The Beekeeper,False,7.345,3133,Thriller,35000000,152720535,David Ayer,Jason Statham,Miramax,Winter,3.3634438571428573,31,3,51,48,9
False,/naNXYdBzTEb1KwOdi1RbBkM9Zv1.jpg,"[27, 53]",420634,en,Terrifier,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,139.024,/fjXqhGmaeQpB73WerhrYU6HlyV5.jpg,2018-01-25,Terrifier,False,6.375,2516,Thriller,35000,421798,Damien Leone,David Howard Thornton,Dark Age Cinema,Winter,11.051371428571429,29,3,36,20,9
False,/tElnmtQ6yz1PjN1kePNl8yMSb59.jpg,"[16, 12, 10751, 35]",1241982,en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",3893.381,/4YZpsylmjHbqeWzjKpUEF8gcLNW.jpg,2024-11-21,Moana 2,False,6.9,494,Animation,150000000,616867000,David G. Derrick Jr.,Auliʻi Cravalho,Walt Disney Pictures,Fall,3.1124466666666666,32,0,10,78,2
